QSPRID	pKi_median_Label	pKi_median_Prediction	Fold
P08908_LIGANDS_nostereo_2694	10.1	8.92702	0.0
P08908_LIGANDS_nostereo_0848	7.04	7.27634	0.0
P08908_LIGANDS_nostereo_1343	8.3	7.81171	0.0
P08908_LIGANDS_nostereo_0031	9.27	9.31413	0.0
P08908_LIGANDS_nostereo_2859	8.835	8.31216	0.0
P08908_LIGANDS_nostereo_1173	9.69	9.16957	0.0
P08908_LIGANDS_nostereo_0475	8.72	6.92428	0.0
P08908_LIGANDS_nostereo_0045	6.09	6.46031	0.0
P08908_LIGANDS_nostereo_3250	7.43	7.62757	0.0
P08908_LIGANDS_nostereo_0553	6.175	6.78962	0.0
P08908_LIGANDS_nostereo_2064	6.74	6.46596	0.0
P08908_LIGANDS_nostereo_0972	5.04	6.43776	0.0
P08908_LIGANDS_nostereo_2415	4.74	6.95527	0.0
P08908_LIGANDS_nostereo_3161	6.37	6.62623	0.0
P08908_LIGANDS_nostereo_0870	8.285	8.06323	0.0
P08908_LIGANDS_nostereo_3184	6.04	7.34035	0.0
P08908_LIGANDS_nostereo_0541	8.65	8.70725	0.0
P08908_LIGANDS_nostereo_1546	8.72	8.81789	0.0
P08908_LIGANDS_nostereo_3176	6.69	6.2603	0.0
P08908_LIGANDS_nostereo_1836	7.6	7.69746	0.0
P08908_LIGANDS_nostereo_2282	8.68	8.42523	0.0
P08908_LIGANDS_nostereo_0226	5.92	6.10702	0.0
P08908_LIGANDS_nostereo_2024	6.94	7.01702	0.0
P08908_LIGANDS_nostereo_2986	7.25	6.83049	0.0
P08908_LIGANDS_nostereo_0376	4.28	4.9467	0.0
P08908_LIGANDS_nostereo_1680	7.91	7.0508	0.0
P08908_LIGANDS_nostereo_2041	6.9	7.16767	0.0
P08908_LIGANDS_nostereo_1177	5.98	5.85689	0.0
P08908_LIGANDS_nostereo_2964	8.1	8.13837	0.0
P08908_LIGANDS_nostereo_0887	7.23	7.11798	0.0
P08908_LIGANDS_nostereo_0008	6.18	6.59666	0.0
P08908_LIGANDS_nostereo_0206	5.68	6.64242	0.0
P08908_LIGANDS_nostereo_0293	5.84	6.14672	0.0
P08908_LIGANDS_nostereo_0238	8.03	7.13344	0.0
P08908_LIGANDS_nostereo_1225	7.24	7.18663	0.0
P08908_LIGANDS_nostereo_2954	7.68	7.04888	0.0
P08908_LIGANDS_nostereo_2796	7.29	7.62948	0.0
P08908_LIGANDS_nostereo_0108	8.21	7.40893	0.0
P08908_LIGANDS_nostereo_3344	5.6	5.11206	0.0
P08908_LIGANDS_nostereo_0450	7.46	6.61242	0.0
P08908_LIGANDS_nostereo_0233	7.455	7.33221	0.0
P08908_LIGANDS_nostereo_2781	7.17	8.18999	0.0
P08908_LIGANDS_nostereo_1972	7.29	7.1441	0.0
P08908_LIGANDS_nostereo_3392	6.59	7.43724	0.0
P08908_LIGANDS_nostereo_2885	9.1	8.16619	0.0
P08908_LIGANDS_nostereo_1182	6.26	6.62096	0.0
P08908_LIGANDS_nostereo_0480	7.79	7.6043	0.0
P08908_LIGANDS_nostereo_3170	6.0	6.40618	0.0
P08908_LIGANDS_nostereo_1206	7.9	7.67771	0.0
P08908_LIGANDS_nostereo_0942	7.6	7.79482	0.0
P08908_LIGANDS_nostereo_0437	6.66	6.85547	0.0
P08908_LIGANDS_nostereo_1796	7.64	7.12726	0.0
P08908_LIGANDS_nostereo_1844	8.22	7.99059	0.0
P08908_LIGANDS_nostereo_0775	6.75	6.27712	0.0
P08908_LIGANDS_nostereo_2669	5.92	7.22164	0.0
P08908_LIGANDS_nostereo_3112	9.42	8.39413	0.0
P08908_LIGANDS_nostereo_1023	6.78	6.87605	0.0
P08908_LIGANDS_nostereo_0857	6.67	6.75901	0.0
P08908_LIGANDS_nostereo_0368	5.34	5.42342	0.0
P08908_LIGANDS_nostereo_2407	9.41	9.22638	0.0
P08908_LIGANDS_nostereo_3167	6.53	6.82807	0.0
P08908_LIGANDS_nostereo_0971	6.47	6.21816	0.0
P08908_LIGANDS_nostereo_1604	6.49	7.00403	0.0
P08908_LIGANDS_nostereo_1347	8.05	7.46373	0.0
P08908_LIGANDS_nostereo_2070	9.22	8.93104	0.0
P08908_LIGANDS_nostereo_2978	6.6	8.24526	0.0
P08908_LIGANDS_nostereo_1285	9.9	9.26235	0.0
P08908_LIGANDS_nostereo_3376	6.54	7.28195	0.0
P08908_LIGANDS_nostereo_2427	6.3	6.70695	0.0
P08908_LIGANDS_nostereo_2948	9.45	8.63921	0.0
P08908_LIGANDS_nostereo_0245	7.83	7.55114	0.0
P08908_LIGANDS_nostereo_1079	9.2	8.91258	0.0
P08908_LIGANDS_nostereo_0706	7.16	7.80017	0.0
P08908_LIGANDS_nostereo_1154	8.0	8.00142	0.0
P08908_LIGANDS_nostereo_1152	6.4	7.50119	0.0
P08908_LIGANDS_nostereo_0497	7.08	7.23624	0.0
P08908_LIGANDS_nostereo_1229	7.48	6.86201	0.0
P08908_LIGANDS_nostereo_1565	7.14	7.096	0.0
P08908_LIGANDS_nostereo_0817	7.58	7.30624	0.0
P08908_LIGANDS_nostereo_2757	8.21	7.54597	0.0
P08908_LIGANDS_nostereo_1281	9.0	8.94986	0.0
P08908_LIGANDS_nostereo_0653	8.55	7.11749	0.0
P08908_LIGANDS_nostereo_3369	6.6	7.25529	0.0
P08908_LIGANDS_nostereo_1845	6.91	7.28747	0.0
P08908_LIGANDS_nostereo_0460	7.07	7.53749	0.0
P08908_LIGANDS_nostereo_1549	9.51	8.85593	0.0
P08908_LIGANDS_nostereo_1357	7.93	8.08834	0.0
P08908_LIGANDS_nostereo_2915	7.44	7.16896	0.0
P08908_LIGANDS_nostereo_1198	6.26	6.47142	0.0
P08908_LIGANDS_nostereo_0640	9.0	8.37727	0.0
P08908_LIGANDS_nostereo_1902	5.16	5.77648	0.0
P08908_LIGANDS_nostereo_2528	4.5	6.23827	0.0
P08908_LIGANDS_nostereo_3213	5.3	5.66805	0.0
